#Front	Back
#краткий русско-татарский фразеологический словарик
авось да небось	тисә - тиенгә, тимәсә - ботакка
аршин проглотил	уклау йоткан
ахиллесова пята	ахиллес үкчәсе
(бежит) сломя голову	артына ут капканмыни
без царя в голове	башның тезгене булмау
бешеные деньги	җилдән килгән акча
битый час	сәгать буе
бить баклуши	тырай тнбү
бог весть	алла белә
бок о бок	иңгә иң куеп
больное место	авырткан урын
брать (взять) быка за рога	үгезне мөгезеннән алу
брать (взять) верх	өстен чыгу
брать (взять) пример	үрнәк алу
брать (взять) свое	үзенекен итү
брать (взять) себя в руқи	үзен кулга алу
брать (взять) слово	сүз алу
брать голыми руками	коры кул белән алу
брать на себя	үз өстенә алу
браться (взяться) за ум	акылга утыру (килү)
бросать слова на ветер	сүзне җилгэ очыру (ташлау)
бросаться (броситься) в глаза	күзгә ташлану
бросить клич	аваз салу; сөрән салу
бубнить под нос	авыз зчендә ботка пешерү
будь что будет	ни булса шул
буря в стакане воды	чыпчык дулап киртә җимерә алмый
в двух словах	ике сүз белән
в двух шагах	ике адымда
в добрый шуты	хәерле юл!
в долгу как в шелку//в долгах как в шелках	бурычка чуму; муеннан бурычлы булу
в конечном счете	ахыр чиктә
в конце концов	ахыр чиктә
в мгновение ока	сии күр дә мин күр! күз ачып йомганчы
в один голос	бертавыштан
в первую очередь	беренче чиратта
в подметки не годится	кисеп ташлаган тырнагыма да тормый
в последнее время	соңгы вакытта
в поте лица	тир түгеп
в пух и прах	пыр туздыру
в самом деле	чыниан да
в свое время	үз вакытында
в своем уме	башына тай типмәгән
в случае чего	алай-болай була калса
в то же время	шул ук вакытта
в том числе	шул исәптән
в центре внимания	игътнбар үзәгендә
в чем только душа держится?	авызын ачса, үпкәсе күренә
валить в одну кучу	барын бер казанга тутыру
валиться из рук	кулдан төшү
валиться с ног	аяктан егылу
валять дурака	юләр (җүләр) сату
вариться в собственном соку	үз казаныңда кайнау
вдоль и поперек	аркылыга-буйга
веревки вить	кырыкка бегәргә
вертеться на языке	тел очында тору
ветер свистит в карманах	кесәдә җил уйный
вешать (повесить) голову	башын иеп (утыру)
видеть на три аршина под землей	бияләй зчендә бармак кыймылдатканны да сизү; астыннан йөргән еланны да белү
видеть насквозь	үтәли күрү
винтиков не хватает	йөзгә берәү тулмаган
вкладывать (вложить) душу	җанын биреп (эшләү)
вместе с тем	шуның белән бергә
внести вклад	өлеш кертү
во весь дух	бар көченә
во времена она	биш былтыр; хан заманында; әби патша заманында
во что бы то ни стало	ничек кенә булса да
водой не разольешь	агылый белән тагылый; арага кыл да сыймау
войти в историю	тарихка кереп калу
вооружаться до зубов	баштанаяк кораллану
ворон считать	карга санау
вот где собака зарыта!	имәндә икән чикләвек!
вот оно что!	менә ничек (икән)!
вот так клюква!	юкәдә икән чикләвек! менә сиңа мә!
вот тебе (и) раз!	менә сиңа мә!
время от времени	вакыт-вакыт
всей душой	җаны-тәне белән
вставлять (вставить) палки в колеса	тәгәрмәчкә таяк тыгу
встать с левой ноғи	сул аягы белән тору
втирать (втереть) очки	күз буяу
входить (войти) в колею	колеяга керу, рәткә керү
входить (войти) в положение	хэлгэ керу
входить (войти) в привычку	гадэткә керү
входить (войти) в роль	рольгэ керү
входить (войти) в силу	көченә керү
выбиваться (выбиться) из сил	хэлдэн таю
выбросить из головы	баштан чыгарып ташлау
выйдет толк	рәт чыгар
выйти в люди	кеше рәтенә керү
выйти в свет	дөньяга чыгу, басылып чыгу
выкинуть из головы	баштан чыгарып ташлау
выступать (выступить) на сцену	мәйданга чыгу
выходить (выйти) замуж	кияугэ чыгу
выходить (выйти) сухим из воды	судан коры чыгу
гладить (погладить) по головке	баштан сыйпау
глаза на мокром месте	балавыз сыгу
глаза разбегаются	кая карарга белмәү
глаза слипаются	күз йомыла
глазом не моргнуть	күзен дә йоммау
глядеть в могилу	бер аягы белэн кабердә (булу)
гнаться за двумя зайцами	ике көимәнең койрыгын тоту; ике куян артыннан куу
гог и магог	яэҗүҗ, маээжүҗж
голая фраза	коры сүз
голова кружится	баш эйләнә
голова на плечах	башы эшли (бар)
гора с плеч	өстеннэн тау төшү; җилкәдән тау төшкән кебек булу
горит (горело) в руках	кулында ут уйната
грош цена	поты бер тиен; бәясе сукыр бер тиен
гроша ломаного не стоит	ике тиен бер акча; сукыр бер тиен дә тормый
